Seed,kappa,Name,omegalul,score


1,,Mango, ,10
2,,Armada,,9.925
3,,Mew2King,  ,9.8
4,,PPMD,,9.7
5,,Hungrybox,,9.688
6,,Hax,,9.138
7,,Shroomed,  ,8.938
8,,Wobbles,,8.91
9,,KirbyKaze,,8.828
10,,SFAT,,8.775
11,,Axe,,8.75
12,,PewPewU,,8.723
13,,Ice,,8.675
14,,Leffen,,8.603
15,,Unknown522,,8.578
16,,Silent Wolf,,8.55
17,,Javi,,8.5
18,,Zhu,,8.483
19,,S2J,,8.458
20,,Lucky,,8.436
21,,Fly Amanita,,8.358
22,,ChuDat,,8.288
23,,Westballz,,8.1
24,,Taj, ,8.039
25,,Overtriforce,,7.972
26,,Chillindude,,7.94
27,,Plup,,7.832
28,,Colbol,,7.819
29,,Lord,,7.8
30,,DaShizWiz,,7.788
31,,Fiction,,7.684
32,,MacD,,7.674
33,,KoreanDJ,  ,7.663
34,,Bladewise,,7.658
34,,Kage,,7.658
36,,VaNz,,7.647
36,,Vwins,,7.647
38,,th0rn,,7.635
39,,Darkrain,,7.625
40,,Cactuar, ,7.61
41,,DJ Nintendo,  ,7.588
42,,Eddy Mexico,,7.55
42,,Lovage,,7.55
44,,Weon-X,,7.514
45,,Darc,,7.511
46,,Darkatma, ,7.471
47,,HugS,,7.449
48,,Nintendude,,7.444
49,,Lucien,,7.429
50,,Jman,,7.413
51,,SilentSpectre,,7.387
52,,Kels,,7.363
53,,Redd,,7.321
54,,Eggm,,7.286
55,,HomeMadeWaffles,,7.282
56,,Tope,,7.276
57,,Cyrain, ,7.27
58,,Abate,,7.231
59,,Fuzzyness,,7.189
60,,Connor, ,7.188
61,,Tafokints,,7.182
62,,Scar,,7.154
63,,The Moon,,7.137
64,,Darrell,,7.133
65,,Gucci,,7.129
66,,Swedish Delight,,7.105
67,,Blunted_Object10,,7.097
68,,Zoso,,7.088
69,,Bam,,7.068
70,,StriCNYN3,,7.058
71,,Tai,,7.054
72,,Sung666, ,7.04
73,,IB,,7.036
74,,Eggz,,7.026
75,,Duck,,7.022
76,,PikaChad,,7.015
77,,aMSa,,6.989
78,,Strawhat Dahean,,6.955
79,,Swiftbass, ,6.927
80,,Frootloop,,6.903
81,,DoH,,6.875
82,,OkamiBW,,6.848
83,,Dart!,,6.797
84,,Vish,,6.781
85,,Reno, ,6.768
85,,Sion,,6.768
87,,DEHF,,6.767
87,,Phil,,6.767
89,,Trail,,6.743
90,,Bob$,,6.694
91,,Kounotori,,6.677
92,,Stabbedbyahippie,,6.676
93,,ESAM,,6.673
94,,G$, ,6.671
95,,Toph,,6.649
96,,Bizzarro Flame,,6.614
97,,Hyprid,,6.6
98,,Vist,,6.583
99,,PKMVodka,,6.576
100,,Ken,,6.526
